COD_COMUNA,COD_ZonLoc,Clave,Nombre,Tipo,COD_REGION,REGION,COD_PROVIN,PROVINCIA,NOMBRE_COM,PobTotH,PobTotM,Pob_0_5,Pob_6_10,Pob_11_15,Pob_16_20,Pob_21_25,Pob_26_30,Pob_31_35,Pob_36_40,Pob_41_45,Pob_46_50,Pob_51_55,Pob_56_60,Pob_61_65,Pob_66_70,Pob_71_75,Pob_76_80,Pob_81_85,Pob_86_90,Pob_mayor_,Emig_10_17,Emig_00_09,Emig_90_99,Emig_ant90,AsisEdu_SI,AsisEdu_NO,AsisEdu_Nu,Curso_0,Curso_1,Curso_2,Curso_3,Curso_4,Curso_5,Curso_6,Curso_7,Curso_8,PobIndigen,ind_Mapuch,ind_Aymara,ind_RapaNu,ind_LicanA,ind_Quechu,ind_Colla,ind_Diagui,ind_Kawesq,ind_Yagan_,ind_Otros,indG_Mapuc,indG_Aymar,indG_RapaN,indG_Lican,indG_Quech,indG_Colla,indG_Diagu,indG_Kawes,indG_Yagan,indG_Otros,ind_o_Lafq,ind_o_Pehu,ind_o_Huil,ind_o_Picu,ind_o_Chan,ind_o_Chon,ind_o_Ona,ind_o_Tehu,ind_o_AL,ind_o_Mund,ind_o_Afro,ind_o_Otro,ind_o_NoDe,Trabajo_1,Trabajo_2,Trabajo_3,Trabajo_4,Trabajo_5,Trabajo_6,Trabajo_7,Trabajo_8
4106,4106152901,4106152901,VICUÑA SUR 2,Zona,4,REGIÓN DE COQUIMBO,41,ELQUI,VICUÑA,13789,13974,2370,2123,1968,1917,1954,2044,1865,1733,1886,1952,1846,1587,1309,978,861,625,420,217,108,324,61,21,36,8019,17760,1364,1957,1975,3042,2457,8381,1795,1987,991,2862,2984,777,266,3,9,68,59,1631,1,4,166,784,266,3,9,68,59,1631,1,4,159,0,2,5,0,6,0,0,0,18,8,7,0,120,10340,228,690,1047,1927,3505,2629,771
4201,4201122035,4201122035,SOCAVÓN,Zona,4,REGIÓN DE COQUIMBO,42,CHOAPA,ILLAPEL,14588,15959,2621,2263,2344,1867,1811,2118,2097,1858,1903,2105,2093,1940,1551,1337,1036,700,498,272,133,207,49,26,22,8223,19985,1646,2157,2022,3469,2926,9180,2238,2095,879,3145,2060,1168,106,2,11,38,28,601,0,2,104,1178,106,2,11,38,28,601,0,2,94,0,2,2,6,1,0,1,1,10,3,0,1,77,11071,349,565,1180,1755,4126,3280,988
4202,4202142901,4202142901,QUILLAICILLO,Zona,4,REGIÓN DE COQUIMBO,42,CHOAPA,CANELA,4613,4438,620,594,573,409,485,553,494,532,576,631,683,654,549,488,376,362,255,163,54,27,4,3,6,1863,6109,891,431,533,804,820,2297,554,888,265,1402,413,169,23,1,1,1,20,162,0,0,36,169,23,1,1,1,20,162,0,0,36,0,0,0,0,3,0,0,0,0,1,3,0,29,2815,212,132,294,366,1873,1346,256
4203,4203082006,4203082006,ÑAGUE,Zona,4,REGIÓN DE COQUIMBO,42,CHOAPA,LOS VILOS,10876,10220,1799,1576,1348,1153,1425,1682,1551,1341,1383,1379,1477,1332,1065,826,668,544,316,152,79,514,37,11,33,5062,14168,1184,1378,1317,2240,2038,6233,1576,1410,594,2097,1315,844,84,4,6,95,20,139,4,1,118,849,84,4,6,95,20,139,4,1,113,0,3,1,1,29,0,1,0,5,5,6,0,67,8891,288,422,648,926,2431,1987,681
4204,4204172024,4204172024,TRANQUILLA,Zona,4,REGIÓN DE COQUIMBO,42,CHOAPA,SALAMANCA,15577,13518,2237,1961,1914,1473,1811,2359,2311,2100,2219,2189,2016,1722,1419,1066,924,606,406,246,116,320,105,31,35,7199,19589,1495,1756,1709,3076,2641,9045,2064,1936,972,3422,2635,1400,137,14,25,12,38,898,4,1,106,1403,137,14,25,12,38,898,4,1,103,0,0,3,0,2,1,0,0,10,2,2,1,85,12255,387,942,1079,1285,3499,2483,841
4301,4301332901,4301332901,VILLASECA,Zona,4,REGIÓN DE COQUIMBO,43,LIMARÍ,OVALLE,52946,57169,10038,8451,7892,7692,7996,8539,7566,6928,7326,6983,7185,6153,5026,3768,3173,2279,1693,982,445,1044,203,71,98,31732,69852,5433,7772,7500,11531,9939,34457,8052,7625,3292,9985,10865,3330,741,12,96,82,221,5819,5,2,557,3334,741,12,96,82,221,5819,5,2,553,0,2,2,0,35,0,0,0,44,12,11,12,439,42599,769,1853,3683,7553,13040,9883,3790
4302,4302152034,4302152034,VALLE HERMOSO,Zona,4,REGIÓN DE COQUIMBO,43,LIMARÍ,COMBARBALÁ,6606,6633,957,831,794,636,681,744,799,840,967,966,992,876,805,663,592,493,316,202,85,44,17,8,9,2879,9111,856,685,787,1349,1242,3450,820,1219,418,1938,1257,525,86,1,11,8,33,504,0,0,89,526,86,1,11,8,33,504,0,0,88,0,0,1,0,1,0,0,0,9,0,0,2,76,4571,256,224,407,591,2048,1978,443
4303,4303222074,4303222074,VALDIVIA,Zona,4,REGIÓN DE COQUIMBO,43,LIMARÍ,MONTE PATRIA,15231,15456,2797,2302,2182,2027,2121,2157,1914,1869,2015,2217,2066,1812,1414,1110,1023,752,492,293,124,150,26,12,20,8081,19685,2140,1897,2030,3070,2665,7937,1841,2591,1250,4182,2735,851,185,1,34,31,27,1457,2,0,147,861,185,1,34,31,27,1457,2,0,137,0,1,7,2,2,0,1,0,9,0,20,4,101,10897,505,635,1127,1737,4403,2968,874
4304,4304062021,4304062021,SAN PEDRO DE QUILES,Zona,4,REGIÓN DE COQUIMBO,43,LIMARÍ,PUNITAQUI,5361,5447,946,877,796,662,654,734,717,675,689,714,649,623,565,494,390,283,203,84,53,24,17,10,1,2896,6750,764,637,720,1078,912,2958,616,997,373,1212,1307,378,66,1,13,4,28,746,0,5,66,379,66,1,13,4,28,746,0,5,65,0,1,0,0,2,0,0,0,1,0,2,0,60,3421,167,176,324,627,1818,1230,296
4305,4305102014,4305102014,VADO DE MORRILLOS,Localidad,4,REGIÓN DE COQUIMBO,43,LIMARÍ,RÍO HURTADO,2138,2139,266,263,285,178,255,263,268,237,248,289,329,313,287,229,222,153,91,67,34,29,6,1,7,928,2952,348,235,241,379,389,1182,244,507,141,525,267,86,25,0,5,2,10,131,1,0,7,86,25,0,5,2,10,131,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,6,1508,109,58,156,191,682,644,137
